,timestamp_iso_x,opc_pm25_x,pm25_env_x,opc_pm10_x,pm10_env_x,id,timestamp_iso_y,opc_pm25_y,pm25_env_y,opc_pm10_y,pm10_env_y
44,2025-10-07 17:26:05+00:00,3.285,5.0,4.785,5.0,45,2025-10-07 17:26:09+00:00,4.339,10.0,5.494,10.0
45,2025-10-07 17:26:10+00:00,3.798,6.0,28.708,6.0,46,2025-10-07 17:26:14+00:00,1.881,12.0,1.994,12.0
46,2025-10-07 17:26:15+00:00,1.758,5.0,1.83,5.0,47,2025-10-07 17:26:19+00:00,6.026,11.0,41.31,12.0
47,2025-10-07 17:26:20+00:00,3.281,5.0,4.591,6.0,48,2025-10-07 17:26:24+00:00,4.92,11.0,31.593,11.0
48,2025-10-07 17:26:25+00:00,3.11,5.0,4.466,6.0,49,2025-10-07 17:26:29+00:00,2.934,12.0,3.972,14.0
49,2025-10-07 17:26:30+00:00,4.094,6.0,43.496,7.0,50,2025-10-07 17:26:34+00:00,6.633,12.0,30.129,16.0
50,2025-10-07 17:26:35+00:00,2.726,6.0,3.267,7.0,51,2025-10-07 17:26:39+00:00,2.123,11.0,29.912,14.0
51,2025-10-07 17:26:40+00:00,2.493,6.0,18.608,6.0,52,2025-10-07 17:26:44+00:00,3.032,12.0,4.162,14.0
52,2025-10-07 17:26:45+00:00,2.874,6.0,3.944,6.0,53,2025-10-07 17:26:49+00:00,6.11,10.0,14.082,12.0
53,2025-10-07 17:26:50+00:00,6.069,6.0,9.89,6.0,54,2025-10-07 17:26:54+00:00,4.539,11.0,8.157,13.0
54,2025-10-07 17:26:55+00:00,3.278,6.0,3.661,6.0,55,2025-10-07 17:26:59+00:00,4.022,10.0,5.909,12.0
55,2025-10-07 17:27:00+00:00,4.635,7.0,7.183,8.0,56,2025-10-07 17:27:04+00:00,3.49,11.0,16.385,12.0
56,2025-10-07 17:27:05+00:00,2.372,7.0,2.511,8.0,57,2025-10-07 17:27:09+00:00,5.173,10.0,11.404,11.0
57,2025-10-07 17:27:10+00:00,2.467,7.0,3.707,7.0,58,2025-10-07 17:27:14+00:00,4.065,11.0,17.03,12.0
58,2025-10-07 17:27:15+00:00,4.072,6.0,7.598,6.0,59,2025-10-07 17:27:19+00:00,3.721,9.0,3.853,10.0
59,2025-10-07 17:27:20+00:00,6.908,6.0,22.599,6.0,60,2025-10-07 17:27:24+00:00,4.043,10.0,9.167,10.0
60,2025-10-07 17:27:25+00:00,5.016,7.0,10.207,7.0,61,2025-10-07 17:27:29+00:00,4.391,10.0,7.519,10.0
61,2025-10-07 17:27:30+00:00,2.796,7.0,2.907,7.0,62,2025-10-07 17:27:34+00:00,2.9,10.0,29.29,10.0
62,2025-10-07 17:27:35+00:00,6.204,7.0,9.016,7.0,63,2025-10-07 17:27:39+00:00,3.146,9.0,11.853,9.0
63,2025-10-07 17:27:40+00:00,4.515,6.0,8.406,6.0,64,2025-10-07 17:27:44+00:00,2.812,10.0,20.899,10.0
64,2025-10-07 17:27:45+00:00,3.693,5.0,5.05,6.0,65,2025-10-07 17:27:49+00:00,4.139,9.0,6.046,9.0
65,2025-10-07 17:27:50+00:00,4.038,6.0,4.838,6.0,66,2025-10-07 17:27:54+00:00,3.776,9.0,42.533,9.0
66,2025-10-07 17:27:55+00:00,5.956,6.0,8.81,6.0,67,2025-10-07 17:27:59+00:00,3.878,9.0,20.724,9.0
67,2025-10-07 17:28:00+00:00,5.477,7.0,7.598,7.0,68,2025-10-07 17:28:04+00:00,3.151,9.0,9.845,9.0
